date,symbol,open,high,low,PX,BUX,BET,BTE,CRE,WIG,AEX,CAC,DAX,FTMIB,UKX,IBC,ATX,OMXS30,OMXN40,SX5E,SMI,EURCZK,EURHUF,EURRON,EURPLN,EURGBP
2015-01-05,PSECZ:PX,34.78287662318883,34.85084123839547,34.04141517482719,34.076119241114036,51.326728369969665,1550.2835761147558,1507.34,910.14001,11698.286594261632,410.94,40.845001,9473.16,18188.439,8177.330614845493,9993.2998,2128.6799,1454.811,1377.351,3023.1399,8938.8496,27.6616,319.81,4.4965,4.3183,0.78475
2015-01-07,PSECZ:PX,33.70657525697767,33.7223561606496,33.45372249998207,33.47416630203215,51.235269919625345,1557.303245887061,1482.89,917.5,11988.966505881197,411.20999,40.814999,9518.18,18123.449,8214.75380678183,9891.4004,2138.3999,1421.342,1354.9041,3026.79,8900.8301,27.8818,316.02,4.498,4.28314,0.7815
2015-01-08,PSECZ:PX,33.17715786233669,33.70923390137985,33.17644629362268,33.64632440282608,51.91366288615525,1573.5533690649968,1464.42,916.96002,12278.238941827709,423.07001,42.310001,9837.61,18791.83,8409.764089960703,10115.0,2169.9199,1456.72,1379.2841,3135.0801,9139.6904,28.13502,316.712,4.48715,4.26698,0.78123
2015-01-12,PSECZ:PX,33.66643217020955,33.84648523971124,33.583167424421156,33.67853133338813,50.72186856511476,1564.172562130837,1457.36,909.81,12118.193044749012,418.41,41.935001,9781.9,18349.15,8371.429914243774,9797.5,2145.45,1453.644,1373.807,3084.1799,9152.9697,28.10277,318.576,4.4865,4.28367,0.77662
2015-01-13,PSECZ:PX,33.75718464489227,34.35170112619054,33.5845730654366,34.35170112619054,50.50175533013348,1568.9576198582508,1433.1899,911.34003,12320.825756614653,423.79001,42.564999,9941.0,18708.93,8455.076767990075,9966.0,2156.4199,1465.6591,1394.516,3133.8601,9285.6299,28.03966,319.598,4.49385,4.25646,0.77376
2015-01-14,PSECZ:PX,34.43799117272058,34.67752430867479,34.04091648457016,34.329501996646535,49.82147397929756,1559.5642245692052,1420.89,918.98999,12032.679046199562,418.32999,41.93,9817.08,18410.68,8340.243870597144,9846.0,2122.0801,1434.793,1370.8409,3089.6699,9198.2002,27.92933,322.474,4.4975,4.31411,0.76598
2015-01-15,PSECZ:PX,34.397880662887495,34.54856009996481,33.598205986192774,33.921448843914774,49.2656951728903,1540.8346643859202,1431.84,909.29999,11744.160939595447,425.32001,42.845001,10032.61,18844.52,8516.51176809771,9982.5,2141.0,1457.361,1397.58,3157.3601,8400.6104,27.87381,318.41,4.50145,4.30994,0.76308
2015-01-19,PSECZ:PX,34.02756876684706,34.16345818056393,33.86479074326781,34.091390582210074,49.97135014799261,1547.0252535339414,1440.3199,918.84998,11592.826941895459,435.31,43.564999,10242.35,19480.529,8635.174918703451,10157.5,2148.1399,1476.307,1420.067,3220.8999,8152.7798,27.89062,316.232,4.5063,4.33288,0.76264
2015-01-20,PSECZ:PX,34.01215979523959,34.050431120663355,33.85263710216524,33.93955333130891,51.5840233927773,1554.6677524429965,1420.25,920.81,11639.792914542953,437.92001,44.095001,10257.13,19658.66,8634.763004121667,10283.9,2170.24,1491.592,1428.089,3244.9199,8178.8999,27.95853,315.311,4.5129,4.30064,0.76668
2015-01-21,PSECZ:PX,34.04516464670384,34.24285370876657,33.994574803206106,34.1757611636134,52.47491885039662,1557.2362719731714,1429.5,930.64001,11966.892600130672,441.09,44.459999,10299.23,19981.41,8884.715949607797,10335.3,2191.9199,1501.222,1434.655,3269.73,8008.5498,27.8718,312.386,4.50265,4.25494,0.75726
2015-01-22,PSECZ:PX,34.339963907356925,34.90566990745217,34.31146284160655,34.672603937720346,54.16313636613106,1566.9820995213179,1435.85,917.63,12245.808794847157,447.76999,45.195,10435.62,20469.74,9092.116570572418,10510.6,2230.0901,1523.796,1466.649,3322.6499,7999.48,27.71756,309.747,4.4915,4.20428,0.74753
2015-01-26,PSECZ:PX,34.46560999362929,34.87264708348352,34.338052841773504,34.87264708348352,54.269504115768434,1564.027239919107,1435.4399,913.96002,12150.433029080876,459.14001,46.375,10798.33,20756.721,9149.22011856441,10696.1,2252.1399,1554.698,1501.514,3414.28,8296.4502,27.90898,311.242,4.47505,4.2399,0.74896
2015-01-27,PSECZ:PX,35.08087746885426,35.12917314353657,34.88265191195758,34.9896947939121,54.209004860578155,1556.4569259877076,1447.65,912.72998,12146.660889142178,454.45999,45.880001,10628.58,20645.82,9137.090906652002,10598.9,2223.73,1533.366,1486.579,3372.5801,8402.8203,27.74617,312.72,4.46615,4.24634,0.74549
2015-01-28,PSECZ:PX,34.99990561402043,35.113385661112545,34.36478127670367,34.458087581543005,54.39717452182609,1573.4153625075778,1454.6899,914.81,12271.786577174837,452.29999,45.740002,10710.97,20478.439,9084.779466567292,10456.9,2194.1399,1562.538,1507.054,3358.96,8311.5498,27.75836,311.027,4.4537,4.21342,0.75136
2015-01-29,PSECZ:PX,34.45568356823143,34.57459374772543,34.03914391733201,34.3908248133679,53.63448852849375,1577.772731875823,1444.27,910.60999,12437.67757786658,452.47,45.974998,10737.87,20593.721,9091.346094803304,10507.6,2187.1299,1570.387,1504.907,3371.8301,8435.3398,27.75246,310.77,4.44365,4.18408,0.74913
2015-02-02,PSECZ:PX,34.43642356908179,34.567195155340364,34.2959248371664,34.513515908697904,54.13785845659663,1595.9412346858683,1447.09,903.21002,12449.293181164287,450.76001,45.955002,10828.01,20485.689,8961.787719831402,10328.1,2217.8101,1575.9449,1496.287,3370.1101,8429.2002,27.7584,308.824,4.39545,4.1708,0.75683
2015-02-03,PSECZ:PX,34.536520443582646,35.172414402196935,34.47595914852261,35.172414402196935,55.84247481790914,1594.6619782214157,1450.26,905.63,12474.79140892482,455.82001,46.419998,10890.95,21011.551,9198.580817883676,10598.2,2263.0701,1593.416,1506.412,3414.1799,8452.1299,27.74049,309.049,4.408,4.17084,0.74705
2015-02-04,PSECZ:PX,35.18574741542175,35.424831856817846,35.16122633184798,35.34838264848185,56.55309870080769,1604.672587881197,1455.05,905.03998,12483.595477591822,454.88,46.580002,10911.32,20941.73,9163.431868880489,10577.8,2252.72,1579.313,1496.324,3415.53,8608.2402,27.73083,306.806,4.40225,4.16946,0.74863
2015-02-05,PSECZ:PX,35.33899434031675,35.33899434031675,35.01335514846334,35.06353704751325,56.24911026213361,1597.9776471787209,1462.03,910.03998,12537.055429641074,455.29999,46.740002,10905.41,20819.051,9251.529630527932,10535.5,2253.3701,1586.13,1497.818,3408.96,8544.3203,27.69943,305.989,4.41555,4.15626,0.74214
2015-02-09,PSECZ:PX,35.38828217226639,35.515152051852404,35.08502354134392,35.448282056601876,57.22273725535925,1586.6934257931175,1437.11,905.69,12409.926974636302,450.95999,46.220001,10663.51,20366.641,9213.494367184132,10364.9,2287.74,1591.4,1487.634,3347.75,8632.1396,27.66622,308.718,4.42715,4.20128,0.74208
2015-02-10,PSECZ:PX,35.47585528225418,35.91993538921016,35.46499790445623,35.846828056109906,58.036600119035306,1601.1811470883251,1447.34,909.60999,12383.488343371779,453.79999,46.645,10753.83,20725.631,9178.924865591398,10500.1,2327.22,1602.744,1507.442,3383.1299,8620.4199,27.63006,309.152,4.43645,4.21048,0.744
2015-02-11,PSECZ:PX,35.84590305409582,35.886412259352376,35.63214347331197,35.7182266647714,58.01511768186826,1609.8232807088561,1449.83,910.51001,12455.00756030241,458.26999,46.455002,10752.11,20565.76,9198.577885108334,10364.8,2321.24,1593.0291,1491.37,3374.1399,8577.7598,27.64779,305.867,4.4466,4.1665,0.74122
