date,symbol,open,high,low,PX,DAX,WIG,ATX,UKX,LUXX,AEX,CAC,SMI,MAIN,SX5E,MSCI,EURCZK,EURPLN
2015-04-15,PSECZ:PX,1053.26,1053.26,1039.95,1050.8,12231.34,55648.199,2650.98,7096.7798,1800.6591,507.42999,52.255001,9428.5498,59.849998,3803.55,61.0,27.45652,4.02488
2015-04-16,PSECZ:PX,1050.8,1056.92,1049.97,1056.75,11998.86,56165.102,2634.99,7060.4502,1771.5031,504.38,51.985001,9398.5996,60.43,3751.72,61.2,27.41425,4.02648
2015-04-20,PSECZ:PX,1049.4,1055.46,1047.92,1051.47,11891.91,56191.301,2608.3,7052.1299,1733.53,500.73001,51.619999,9243.71,61.389999,3718.04,60.94,27.4421,3.98788
2015-04-21,PSECZ:PX,1052.27,1057.96,1048.6801,1056.79,11939.58,56226.219,2632.26,7062.9302,1724.853,503.81,51.709999,9299.4297,61.07,3719.3799,60.87,27.41198,3.98858
2015-04-22,PSECZ:PX,1056.79,1056.79,1039.61,1042.74,11867.37,56450.941,2617.29,7028.2402,1721.24,505.72,51.884998,9358.0898,61.900002,3724.49,61.6,27.42168,4.00003
2015-04-23,PSECZ:PX,1042.74,1045.27,1039.51,1042.05,11723.58,56492.949,2613.1799,7053.6699,1715.048,503.0,51.59,9338.25,61.349998,3697.8799,62.25,27.47506,4.03806
2015-04-27,PSECZ:PX,1049.5699,1056.22,1041.67,1041.67,12039.16,57060.969,2661.7,7103.98,1751.504,509.23999,52.450001,9349.1797,60.560001,3771.45,62.96,27.43735,3.99608
2015-04-28,PSECZ:PX,1041.25,1042.45,1029.47,1031.33,11811.66,56993.199,2646.6699,7030.5298,1766.056,501.66,51.599998,9259.8096,60.029999,3715.4199,62.93,27.43292,4.01055
2015-04-29,PSECZ:PX,1031.3199,1032.54,1023.01,1025.1,11432.72,56559.398,2586.51,6946.2798,1710.165,489.26001,50.255001,9105.0498,59.610001,3617.1101,62.6,27.46231,4.04203
2015-04-30,PSECZ:PX,1025.11,1030.7,1019.86,1026.01,11454.38,56477.691,2586.3301,6960.6299,1687.408,487.85001,50.52,9077.1201,60.490002,3615.5901,61.19,27.33862,4.07236
2015-05-05,PSECZ:PX,1029.02,1032.11,1022.65,1025.4,11327.68,56442.25,2583.9299,6927.5801,1690.382,482.60999,49.794998,9024.3799,60.220001,3546.5601,62.04,27.41304,4.04548
2015-05-06,PSECZ:PX,1025.5699,1027.22,1013.15,1016.7,11350.15,56928.559,2571.26,6933.7402,1704.111,478.14999,49.860001,8888.9199,59.82,3558.03,61.46,27.37005,4.04524
2015-05-07,PSECZ:PX,1016.92,1029.64,1013.91,1028.05,11407.97,56911.34,2615.3301,6886.9502,1678.52,478.78,49.785,8873.5498,59.02,3556.21,61.6,27.45213,4.04774
2015-05-11,PSECZ:PX,1030.85,1045.79,1027.34,1042.51,11673.35,57262.52,2653.8,7029.8501,1712.201,492.75,50.650002,9117.3301,58.490002,3624.4099,61.83,27.43128,4.10032
2015-05-12,PSECZ:PX,1041.11,1041.11,1032.61,1035.1,11472.41,57304.711,2633.03,6933.7998,1695.489,488.97,50.084999,9044.9805,58.34,3573.1001,61.36,27.47176,4.09826
2015-05-13,PSECZ:PX,1035.61,1040.03,1029.62,1034.4399,11351.46,57246.738,2659.5701,6949.6299,1711.786,486.69,49.959999,9050.6602,57.84,3553.4199,61.83,27.48537,4.06718
2015-05-18,PSECZ:PX,1026.4399,1027.37,1021.45,1022.23,11594.28,57044.039,2637.55,6968.8701,1725.512,490.14999,50.560001,9196.5498,57.709999,3589.22,63.54,27.39483,4.0514
2015-05-19,PSECZ:PX,1022.23,1033.8,1021.87,1031.25,11853.33,56968.609,2642.5601,6995.1001,1735.093,499.17999,51.555,9295.6201,56.470001,3670.52,63.6,27.31562,4.07646
2015-05-20,PSECZ:PX,1031.48,1033.6801,1024.8101,1031.54,11848.47,56925.898,2652.3999,7007.2598,1739.451,501.89999,51.794998,9319.9004,56.759998,3683.48,63.13,27.38357,4.09667
2015-05-21,PSECZ:PX,1031.54,1031.63,1021.06,1021.4,11864.59,56990.602,2639.9199,7013.4702,1751.4561,502.04999,52.02,9365.3496,59.009998,3688.72,63.01,27.43474,4.10863
2015-05-26,PSECZ:PX,1027.8,1029.11,1012.66,1013.6,11625.13,55553.988,2596.79,6948.9902,1746.856,496.35001,51.450001,9272.6797,58.380001,3619.3,63.2,27.45152,4.12871
2015-05-27,PSECZ:PX,1014.33,1032.34,1012.69,1030.1801,11771.13,55862.059,2614.6299,7033.3301,1763.1801,503.51999,52.43,9396.2402,58.529999,3682.8701,62.69,27.43672,4.14094
2015-05-28,PSECZ:PX,1029.53,1037.13,1025.52,1025.52,11677.57,55556.129,2576.4299,7040.9199,1743.1021,502.23999,52.009998,9394.25,59.040001,3650.71,62.65,27.4254,4.11112
2015-06-02,PSECZ:PX,1028.08,1029.49,1017.26,1019.59,11328.8,55045.398,2578.5901,6928.27,1736.2371,486.5,50.715,9204.0898,61.540001,3561.8899,62.18,27.4855,4.16334
2015-06-03,PSECZ:PX,1020.12,1020.25,1012.91,1017.31,11419.62,54749.738,2612.3501,6950.46,1762.567,487.73999,51.029999,9253.2998,61.450001,3583.8201,62.48,27.43459,4.17171
2015-06-08,PSECZ:PX,1004.89,1005.63,996.82001,996.82001,11064.92,53966.77,2500.98,6790.04,1708.3781,475.13,49.395,9060.4902,58.970001,3468.3101,61.38,27.41114,4.17626
2015-06-09,PSECZ:PX,996.77002,997.09003,981.70001,991.65997,11001.29,53576.172,2502.8,6753.7998,1705.199,474.70001,49.345001,8980.2197,59.09,3456.79,61.43,27.26919,4.1416
2015-06-10,PSECZ:PX,991.15997,1010.36,989.98999,1006.06,11265.39,54392.949,2546.4099,6830.27,1701.463,481.45001,50.169998,9102.7002,59.290001,3526.48,61.72,27.30276,4.13334
